description,category_a,category_b,category_c,category_d,category,description_clean,category_target
使用chrome / IE無法點請假單的日期,BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,BPM平台系統,使用chrome / IE無法點請假單的日期,0
下面issue 無法open…完成後會跳到另外一個issue   但原本issue 未Open完成      再麻煩幫忙看一下  感謝了!!      T-0029131 The screen is lag while the system is recording by Metro UI and Arcosoft 2.High Camera Firmware Draft Open The screen is lag while the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1-64 KR1A 2013/11/21 下午 05:04:41 Shan Chen,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,下麵 無法open…完成後會跳到一個   但原本 未Open完成      再幫忙看一下  了        T 31 The screen is lag wle the system is recording by Metro UI and Arcosoft 2.gh Camera Firmware Draft Open The screen is lag wle the system is recording by Metro UI and Arcosoft 6.2.9200.225 logo R1100V8 RC1 Win8.1 64 KR1A 2013/11/21 下午 05 04 41 Shan Chen,1
"1. Issue Status秀出來的文字裡面,出現斷行符號,但實際上看不到斷行效果  2. Issue assign出去時,會有通知信告知issue owner,但現在都會漏信,很多人反應都收不到通知",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,1.  Status秀出來的文字裡面 出現斷行符號 但實際上看不到斷行效果  2.  assign出去時 會有通知信告知 owner 但現在都會漏信 都收不到通知,1
"QCMC那邊的測試人員反應無法使用QITS系統,原本NB7的使用權限被刪除,如附件一  另外原本已被刪除的權限,現在又跑出來,如附件二  麻煩儘快幫忙處理",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,的測試人員反應無法使用QITS系統 原本NB7的使用權限被刪除 如附件一  原本已被刪除的權限 現在又跑出來 如附件二,1
Chris Wu (吳振瑋)  新增 BU3 bios   人員,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,Chris Wu  吳振瑋   新增 BU3 bios   人員,1
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,Please help create new platform Cpset “AMD Richland”,1
"QITS -> Analysis -> Issue Type Solving Time  會出現錯誤: ""The ''STATUS'' parameter is missing a value """,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,QITS    Analysis     Type Solving Time  會出現錯誤   The ''STATUS'' parameter is missing a value,1
QITS 建立外部帳號，外部帳號開通後，從 e-mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境有關，有 screenshot 可供參考,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,QITS 建立外部帳號 外部帳號開通後 從 e mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境 有 screenshot 可供參考,1
LCBU-QITS 申請開通 Analysis 功能。  目前 LCBU-QITS 系統缺少 Analysis button 及功能，請協助 enable it，謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,R&D資訊系統,LCBU QITS 申請開通 Analysis 功能   目前 LCBU QITS 系統缺少 Analysis button 及功能 請協助 enable it,1
MRO系統 收料時出現錯誤。,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,BPM平台系統,MRO系統 收料時出現錯誤,0
