Id,Content,Type,Date,idx
1800000321,無法透過 CAMP 上SIT 系統 icon 的連接登入. 可否協助看一下這問題,CAMP,20180213,0
1800000321,無法透過 CAMP 上SIT 系統 icon 的連接登入. 可否協助看一下這問題,CAMP,20180213,1
1600001420,收到CAMP 簽核表單，開頭CAF_QRDC，不清楚這是什麼簽核表單,CAMP,20160604,2
1600001420,收到CAMP 簽核表單，開頭CAF_QRDC，不清楚這是什麼簽核表單,CAMP,20160604,3
1500003557,"無法會員登入,顯示訊息:無效的帳號或使用者不存在。帳號:96122401",CAMP,20151228,4
1900000199,因今天有事請假，要補登先前的加班，但開啟camp後，出勤表單顯示的內容看起來像測試的，沒有最近的時間也沒辦法使用，(已登出重登，但狀況還是一樣) 煩請協助確認是否資料異常?  因有事外出，請早上10點過後聯繫，感謝。,CAMP,20190125,5
1500001239,四月中時修改中英文姓名，Outlook已生效，但CAMP仍為舊名字。,CAMP,20150505,6
1500001239,四月中時修改中英文姓名，Outlook已生效，但CAMP仍為舊名字。,CAMP,20150505,7
1700000352,"手機簽核BPM有問題,都顯示亂碼  #18227",CAMP,20170208,8
1500002414,無法在手機上面使用CAMP進行表單簽核動作。分機：17132,CAMP,20150828,9
1500001816,CAMP上的會議室預約系統無法使用，煩請幫忙處理 #13931,CAMP,20150703,10
1500001816,CAMP上的會議室預約系統無法使用，煩請幫忙處理 #13931,CAMP,20150703,11
1600000612,分機: 17451  問題: 使用雲端會議功能時，無法設定預設群組，造成無法繼續選擇會議室預約,CAMP,20160315,12
1600000612,分機: 17451  問題: 使用雲端會議功能時，無法設定預設群組，造成無法繼續選擇會議室預約,CAMP,20160315,13
1500001669,資料不見，沒有顯示表單,CAMP,20150617,14
1500001669,資料不見，沒有顯示表單,CAMP,20150617,15
1800002603,帳號鎖住,CAMP,20181220,16
1500002136,"operation說以前用EC,現在改用CAMP; 廠商要使用CAMP, 但是operation沒有帳號  #385-13107",CAMP,20150805,17
1500002136,"operation說以前用EC,現在改用CAMP; 廠商要使用CAMP, 但是operation沒有帳號  #385-13107",CAMP,20150805,18
1500003562,iphone安裝完後無法使用,CAMP,20151228,19
1500003562,iphone安裝完後無法使用,CAMP,20151228,20
1800000120,系統無法登入,CAMP,20180116,21
1800002285,無法打開報單資料,CAMP,20181106,22
1500001793,看不到自己的專案表單.,CAMP,20150701,23
1500001793,看不到自己的專案表單.,CAMP,20150701,24
1500001687,專案有顯示表單物件空白，昨天還正常,CAMP,20150617,25
1500001687,專案有顯示表單物件空白，昨天還正常,CAMP,20150617,26
1600003101,"出差同仁無法登入camp, 委請同事詢問",CAMP,20161128,27
1800002522,無法加入專案,CAMP,20181210,28
1600001577,手機APP通知關不掉,CAMP,20160628,29
1600003236,"請問一下，為什麼我進入CAMP，在會員中心點選""應用程式""卻找不到""研發服務雲""可點選?  該如何解決?",CAMP,20161212,30
1800001457,用手機CAMP要簽核電腦外帶攜出申請單，出現應用程式發生錯誤 #15189,CAMP,20180704,31
1900000697,研發服務雲 > 偕同開發 > 新增專案 : 無法新增 J51 or J51D 專案 for PCB 發包( Error Code: 相同專案名稱已存在),CAMP,20190408,32
1900000683,"進入 CAMP 「研發服務雲」的icon 沒有進一步的資訊 , 畫面空白,沒有發包選單",CAMP,20190403,33
1600003252,"在CAMP平台點選""應用程式""找不到""研發服務雲""可以點選，請問該如何解決?",CAMP,20161214,34
1800002586,預報加班系統異常.主管簽核完成後仍然顯示預報中.,CAMP,20181218,35
1800002048,"想確認一下CAMP Drive 不能使用,點選進去顯示: 已配置空間：0G　已使用空間：20.9 KB , 之前是關閉雲端, 現在是用本機收信,是否跟這個有相關, 謝謝~",CAMP,20180926,36
1900000553,3/20CAMP跳出資訊告知同仁預報加班簽核不同意，但助理作業看到的資訊為簽核中,CAMP,20190320,37
1900000553,3/20CAMP跳出資訊告知同仁預報加班簽核不同意，但助理作業看到的資訊為簽核中,CAMP,20190320,38
1800000327,材料異常管理流程有疑問,CAMP,20180214,39
1800002177,我在 20181008 有用手機的 CAMP (我的出勤) 來申報加班 (20181004)  因為我要完成上星期的加班申請  我還送了二次，確定都有點 Trans it  但是，結果是根本沒送出去...   請問這該怎麼辦?,CAMP,20181019,40
1700002173,"在CAMP簽核材料鑑審單後, 卡在 ""系統執行"" 無法進入到下一關, 工廠需要進料, 卡在這些單子無法結單  單號  1700015882   APP0000289258  1700016031   APP0000293274  1700015877   APP0000289235  1700015875   APP0000290033  此外  手機的CAMP最近一打開就黑屏當機, 已經重新下載還是一樣",CAMP,20170825,41
APP0021835,PRO-E  登入問題,GOC,20080827,42
APP0030859,PRO/E抓不到licence，分機12320,GOC,20100323,43
